id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
93,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70 - 74,LAKI-LAKI,16408,JIWA,2020
94,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70 - 74,PEREMPUAN,15144,JIWA,2020
95,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75+,LAKI-LAKI,18797,JIWA,2020
96,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75+,PEREMPUAN,17835,JIWA,2020
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,00 - 04,LAKI-LAKI,144769,JIWA,2020
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,00 - 04,PEREMPUAN,135817,JIWA,2020
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,05 - 09,LAKI-LAKI,173857,JIWA,2020
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,05 - 09,PEREMPUAN,163695,JIWA,2020
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10 - 14,LAKI-LAKI,176281,JIWA,2020
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10 - 14,PEREMPUAN,166014,JIWA,2020
103,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15 - 19,LAKI-LAKI,157537,JIWA,2020
104,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15 - 19,PEREMPUAN,153238,JIWA,2020
105,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20 - 24,LAKI-LAKI,157435,JIWA,2020
106,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20 - 24,PEREMPUAN,150787,JIWA,2020
107,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25 - 29,LAKI-LAKI,149499,JIWA,2020
108,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25 - 29,PEREMPUAN,143106,JIWA,2020
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30 - 34,LAKI-LAKI,130922,JIWA,2020
110,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30 - 34,PEREMPUAN,123618,JIWA,2020
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35 - 39,LAKI-LAKI,145995,JIWA,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35 - 39,PEREMPUAN,141788,JIWA,2020
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40 - 44,LAKI-LAKI,139728,JIWA,2020
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40 - 44,PEREMPUAN,139727,JIWA,2020
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45 - 49,LAKI-LAKI,123586,JIWA,2020
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45 - 49,PEREMPUAN,122940,JIWA,2020
117,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50 - 54,LAKI-LAKI,100968,JIWA,2020
118,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50 - 54,PEREMPUAN,97030,JIWA,2020
119,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55 - 59,LAKI-LAKI,78501,JIWA,2020
120,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55 - 59,PEREMPUAN,77561,JIWA,2020
121,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60 - 64,LAKI-LAKI,60070,JIWA,2020
122,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60 - 64,PEREMPUAN,57775,JIWA,2020
123,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65 - 69,LAKI-LAKI,40803,JIWA,2020
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65 - 69,PEREMPUAN,37961,JIWA,2020
125,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70 - 74,LAKI-LAKI,20946,JIWA,2020
